School,Address,Biology,Latitude,Longitude
,"801 S. Franklin St.  Dwight, IL 60420",,,
,"809 E Main St Knoxville, IL 61448",,,
,"900 N. Cherry St. West Frankfort, IL. 62896",,,
,"900 Walnut Rd Williamsville, IL 62693",,,
,"913 Crescent Dr Champaign, IL 61821",,,
,"913 S. Crescent Dr. Champaign, IL 61821",,,
,"918 N State St Westville, IL 61883",,,
,"Armstrong, IL 61812 ",,,
,"Lebanon, IL 62254 ",,,
,"Manito, IL 61546 ",,,
,"Norris City, IL 62869 ",,,
